channel,count,percent
behomethansohoc7,32370,0.025805474395819466
thvl24news,24243,0.01932660227920455
nguyenquynhnaricantho,23990,0.019124909816364194
ngocvanw,23617,0.018827552944271495
baothanhnien.official,23322,0.01859237793819282
tuan_linh912k,21971,0.017515356130693528
genz.justdoit,21242,0.016934194844485544
nguyenanhtuan.official,20868,0.01663604076898241
tamtinhmebim.mcv,20598,0.016420795848164638
lifecoachtuean,19888,0.015854781426754942
vtvthoitiet,19477,0.01552713082506567
laihofficial,17782,0.014175871044376329
luonganhmyy,15496,0.012353464048119198
mcvtop.mcv,15488,0.012347086420835708
vothailamleo,14116,0.011253323341717256
vuilenreview,13458,0.010728763497650243
tranquangtien164,12702,0.010126077719360483
mcnguyenkhang,11968,0.00954093041610032
kenh14specialvn,11886,0.009475559736444553
thiendi180119,11555,0.009211685407590174
sharktankvn,11212,0.008938244637810561
cohoichoai,10780,0.008593852764502127
hoangngoctu68,10719,0.00854522335646552
baohancute205,10715,0.008542034542823774
neko.land23,10674,0.00850934920299589
thaihoang_huongnghiep,10415,0.008302873519692918
namkechuyenma,10347,0.008248663687783256
doctorhousing,10078,0.008034215970375921
nhuantamlinh,9919,0.007907460628116567
giaolocamxuc.beeent,9003,0.007177222304157017
dangphuonglinh.com,8778,0.0069978515368088745
phanhoangmyvietjetair,8658,0.006902187127556532
daothinhvuongofficial255,8500,0.006776228988707614
thehoangwork,8445,0.006732382801133623
tranle.phunu30cong,8436,0.006725207970439698
henantrua.mcv,8152,0.00649880220187582
maggiemaggievn,7801,0.006218983804812717
tungbtkhoinghiep,7304,0.0058227737098259305
fptlongchau,7118,0.005674493875484799
vivodio,6943,0.005534983278658466
vyviqng,6926,0.005521430820681051
chuthienoi,6556,0.00522646555881966
phamcu95,6472,0.005159500472343021
5w1hpodcast,6455,0.005145948014365605
dongthaptv,6273,0.005000856993666219
minh.lecong,6218,0.004957010806092228
arian__111,6007,0.004788800886490192
dangdocgiday,5958,0.004749737919378819
hanquangdu,5896,0.004700311307931775
thayqueo,5798,0.004622185373709029
markusnguyen37,5774,0.00460305249185856
jaynguyen1101,5773,0.004602255288448124
tinmoinhat369,5674,0.004523332150814941
ngantalk,5556,0.004429262148383471
alexlevn,5548,0.004422884521099981
nhansohochieuminh,5498,0.004383024350578172
canmanhlinh,5403,0.004307290026586734
linhhoatam11,5370,0.00428098231404234
madisonmediagroup,5295,0.004221192058259625
suckhoegenz,5229,0.004168576633170836
nhile_anne92,4901,0.003907093914547766
congocphunxamtuongso,4895,0.003902310694085149
bacsi.hieu.official,4780,0.0038106323018849875
huynhduykhuongofficial,4772,0.003804254674601498
pcm.studio,4723,0.003765191707490125
tntamnguyen92,4662,0.003716562299453517
ngocyakultinvesting,4656,0.0037117790789909
thangbancaytinikun,4562,0.003636841958409898
minhxinchao,4501,0.0035882125503732907
vietsuccess,4486,0.003576254499216748
luongdinh1502,4475,0.0035674852617019496
_sunnytarot_,4461,0.0035563244139558427
vtv4go,4444,0.0035427719559784276
22_22_l,4424,0.003526827887769704
taylortichcuc,4409,0.003514869836613161
vococenter_official,4377,0.003489359327479203
chiemxi,4367,0.003481387293374841
minhtinhday,4367,0.003481387293374841
duocsyduythuc90,4355,0.0034718208524496066
thalicvoice,4347,0.0034654432251661174
chuyenkinhdoanh_z,4300,0.0034279746648756162
drchubbyderma,4272,0.003405652969383403
earthlovers1111,4270,0.0034040585625625306
vtcnow,4198,0.003346659917011125
ngao_bao,4189,0.003339485086317199
8saigon,4126,0.003289261271459719
ngominhtuan.official,4093,0.003262953558915325
bukamidilam,4017,0.0032023660997221744
duynghiem.dgi,3974,0.0031680863530734182
duongwiki,3950,0.00314895347122295
bs.ngomonghung,3935,0.003136995420066407
dtn.tuoidaythi,3879,0.0030923520290819803
vtvgiaitriofficial,3875,0.0030891632154402358
phaminhiu,3860,0.003077205164283693
thansohocdinhhuong369,3836,0.003058072282433224
tanab.ne,3825,0.0030493030449184264
lepthelittlekid,3820,0.0030453170278662454
syhuyvuituoi,3786,0.0030182121119114147
gasachh,3781,0.003014226094859234
quynhnhu.lifecoach,3644,0.0029050092276294757
phammaihuong.pmh,3628,0.002892253973062497
phongthuythuctam,3607,0.0028755127014433368
onlycofficial,3605,0.0028739182946224645
otingting_networks,3531,0.0028149252422501863
luatsubinh,3523,0.0028085476149666967
khanh.sartorial,3430,0.002734407697796131
gwynethtarot777,3427,0.0027320160875648225
maiivi8,3405,0.0027144776125352264
ddttam,3323,0.002649106932879459
thuuyendaylight,3323,0.002649106932879459
ngocbinhtamly,3322,0.0026483097294690227
